Grainger Blue Path	L1	Segment_Name	L2	Family_Name	L3	Category_Name	Gamut PIM Path	Gamut Category ID	Gamut Category Name	"Gamut Node ID
Node ID"	Gamut Node Name	Grainger-Gamut Terminal Node Mapping	Grainger_Attribute_Definition	Grainger_Category_Specific_Definition	Grainger Attribute Sample Values	Grainger_Attr_ID	Grainger_Attribute_Name	Identified Matching Gamut Attribute Name (use semi-colon to separate names)	Identified Matching Grainger Attribute Name (use semi-colon to separate names)	Analyst Notes	Taxonomist Notes	Gamut_Attribute_Name	Gamut_Attr_ID	Gamut Attribute Sample Values	Gamut_Attribute_Definition	Matching
"Electronics, Appliances, and Batteries > Appliances > Microwave Ovens"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	4632	Microwave Ovens	Building Furnishings > Appliances > Countertop Appliances > Microwave Ovens	8860	Building Furnishings	13184	Microwave Ovens	Microwave Ovens -- Microwave Ovens	"This attribute is intended to capture a listing of any industry or government standards for which the product is approved or certified, e.g. UL Listed, FDA Approved, etc."			126615	Standards	Specifications Met								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units	"This attribute is intended to capture a listing of any industry or government standards for which the product is approved or certified, e.g. UL Listed, FDA Approved, etc."			126615	Standards	Specifications Met								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							amps			Current	241138			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							commercial / residential			Application	241124			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							depth	Gamut may make more sense as overall depth as opposed to length		Overall Length	241130			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							dryer temperature settings			Dryer Temperature Setting	241144			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							green certification or other recognition			Green Certification	241145			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							height			Overall Height	241129			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Microwave Ovens"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	4632	Microwave Ovens	Building Furnishings > Appliances > Countertop Appliances > Microwave Ovens	8860	Building Furnishings	13184	Microwave Ovens	Microwave Ovens -- Microwave Ovens							oven capacity			Capacity	240343			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units				100994	Depth		overall length	Gamut may make more sense as overall depth as opposed to length						Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Microwave Ovens"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	4632	Microwave Ovens	Building Furnishings > Appliances > Countertop Appliances > Microwave Ovens	8860	Building Furnishings	13184	Microwave Ovens	Microwave Ovens -- Microwave Ovens							standards			Specifications Met	240336			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							Standards			Specifications Met	241132			Gamut Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units							width			Overall Width	241131			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves	This attribute is intended to capture the style of shelving with which the decking is intended to be used. If the decking can be used with more than one style of shelving all applicable should be listed in alphabetical order and separated with a comma.			403760	Used With Shelving Style	Compatible With Product Type								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves	This attribute is intended to capture the finish of an item in the shelving and storage rack family.			403746	Finish - Shelving and Racks	Finish/Coating								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves	"Many products meet ""green"" standards established by a recognized organization such as Energy Star, Green Seal, Ecologo, etc. These organizations specialize in setting standards and evaluating performance for products that offer an environmentally preferab"			160477	Green Certification or Other Recognition	Green Certification								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves		This attribute is intended to capture the maximum load capacity that the decking can safely hold when evenly distibuted.		113474	Load Capacity	Maximum Load Capacity								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves		"This attribute is intended to capture the depth of the decking. It should be measured from front to back when facing the shelving unit in the installed position. It should be captured in inches rounded to the nearest 1/4""."		103023	Overall Depth	Overall Depth								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves	"This attribute is intended to capture the decking material of the item, allowed values are: Aluminum, Knuckled Wheelbed, Featherdeck, Laminate, Particle Board, Steel Wire, etc. Also valid are different variations of steel such as: Corrugated Steel, Perfor"			164097	Decking Material	Product Type		I think						Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves	"This attribute is intended to capture a listing of any industry or government standards for which the product is approved or certified, e.g. UL Listed, FDA Approved, etc."			126615	Standards	Specifications Met								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves		"This attribute is intended to capture the width of the decking. It should be measured from left to right when facing the shelving unit in the installed position. It should be captured in inches rounded to the nearest 1/4""."		114615	Overall Width	Width								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves	"This attribute is intended to capture the gauge of just the complete shelf, decking, or beam. If the shelf is any form of plastic this can be left blank. Values should be whole numbers."			403750	Shelving Gauge	wire size								Grainger Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							decking material			Product Type	208364			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							finish - shelving and racks			Finish/Coating	208351			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							green certification or other recognition			Green Certification	208354			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							Load Capacity			Maximum Load Capacity	208359			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							overall depth			Overall Depth	248033			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							Overall Width			Width	208368			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							shelving gauge			Wire Size	208353			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							Standards			Specifications Met	208366			Gamut Only
Material Handling > Shelving and Storage Racks > Decking	1018	Material Handling	2112	Shelving and Storage Racks	8155	Decking	Storage > Shelving & Storage Racks > Shelving and Storage Rack Parts & Accessories > Panel Kits & Replacement Shelves	11547	Storage	11600	Panel Kits & Replacement Shelves	Decking -- Panel Kits & Replacement Shelves							used with shelving style			Compatible with Product Type	246920			Gamut Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulator Accessories	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3567	Air Circulator Accessories	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Industrial Air Circulating Fan Accessories > Air Circulator Mounting Brackets"	9518	"Heating, Ventilation, & Air Conditioning"	12250	Air Circulator Mounting Brackets	Air Circulator Accessories -- Air Circulator Mounting Brackets	This attribute is intended to capture the specific type of fan accessory.			400781	Fan Accessory Type	accessory type								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulator Accessories	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3567	Air Circulator Accessories	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Industrial Air Circulating Fan Accessories > Air Circulator Mounting Brackets"	9518	"Heating, Ventilation, & Air Conditioning"	12250	Air Circulator Mounting Brackets	Air Circulator Accessories -- Air Circulator Mounting Brackets	"This attribute is intended to capture the color (Black, Blue, etc.) of the product. The material (Steel, Plastic, etc.) and finish (Polished, Galvanized, etc.) of the product are captured in different attributes."			400827	Fan Accessory Color	color								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Cannons	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3586	Air Cannons	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Industrial Air Circulating Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9710	Industrial Air Circulating Fans	Air Cannons -- Industrial Air Circulating Fans				102926	Operating Amps	current								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Cannons	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3586	Air Cannons	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Mobile Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9711	Mobile Fans	Air Cannons -- Mobile Fans				102926	Operating Amps	current								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulators	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3568	Air Circulators	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Mobile Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9711	Mobile Fans	Air Circulators -- Mobile Fans				102926	Operating Amps	current								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulators	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3568	Air Circulators	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Pedestal Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9712	Pedestal Fans	Air Circulators -- Pedestal Fans				102926	Operating Amps	current								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Cannons	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3586	Air Cannons	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Industrial Air Circulating Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9710	Industrial Air Circulating Fans	Air Cannons -- Industrial Air Circulating Fans				113031	Hz	electric frequency								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Cannons	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3586	Air Cannons	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Mobile Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9711	Mobile Fans	Air Cannons -- Mobile Fans				113031	Hz	electric frequency								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulators	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3568	Air Circulators	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Industrial Air Circulating Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9710	Industrial Air Circulating Fans	Air Circulators -- Industrial Air Circulating Fans				113031	Hz	electric frequency								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulators	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3568	Air Circulators	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Mobile Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9711	Mobile Fans	Air Circulators -- Mobile Fans				113031	Hz	electric frequency								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulators	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3568	Air Circulators	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Pedestal Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9712	Pedestal Fans	Air Circulators -- Pedestal Fans				113031	Hz	electric frequency								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulator Guards	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	13406	Air Circulator Guards	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fan Accessories > Fan Guards"	9518	"Heating, Ventilation, & Air Conditioning"	9697	Fan Guards	Air Circulator Guards -- Fan Guards				160747	Blade Dia.	fan blade diameter								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulators	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3568	Air Circulators	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Pedestal Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9712	Pedestal Fans	Air Circulators -- Pedestal Fans				160747	Blade Dia.	fan blade diameter								Grainger Only
HVAC and Refrigeration > Air Filters > Cartridge Air Filters	1012	HVAC and Refrigeration	2074	Air Filters	29236	Cartridge Air Filters	"Heating, Ventilation, & Air Conditioning > HVAC Filters & Air Treatment > Air Filters & Accessories > Collapsible Pleated Air Filters"	9518	"Heating, Ventilation, & Air Conditioning"	9788	Collapsible Pleated Air Filters	Cartridge Air Filters -- Collapsible Pleated Air Filters	"This attribute is intended to capture the type of header. Acceptable values are No Header, Single, and Double."			401791	Air Filter Header Type	filter header								Grainger Only
HVAC and Refrigeration > Air Filters > Cartridge Air Filters	1012	HVAC and Refrigeration	2074	Air Filters	29236	Cartridge Air Filters	"Heating, Ventilation, & Air Conditioning > HVAC Filters & Air Treatment > Air Filters & Accessories > Collapsible Pleated Air Filters"	9518	"Heating, Ventilation, & Air Conditioning"	9788	Collapsible Pleated Air Filters	Cartridge Air Filters -- Collapsible Pleated Air Filters	"This attribute is intended to capture the media type/material that comprises the actual air filter, e.g. Fiberglass, Polyester, etc. The material of the air filter frame belongs in a different attribute. If there are multiple media types please list them "			401716	Air Filter Media Type	filter material								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Circulator Accessories	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3567	Air Circulator Accessories	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Industrial Air Circulating Fan Accessories > Air Circulator Mounting Brackets"	9518	"Heating, Ventilation, & Air Conditioning"	12250	Air Circulator Mounting Brackets	Air Circulator Accessories -- Air Circulator Mounting Brackets	"This attribute is intended to capture the finish of the product, e.g. Powder Coated, Polished, Galvanized, etc. The material (Steel, Plastic, etc) and color (Black, Blue, Gray, etc.) of the product are captured in different attributes. Allowed values are:"			400825	Fan Accessory Finish	finish								Grainger Only
HVAC and Refrigeration > Air Filters > Polyester and Fiberglass Air Filters	1012	HVAC and Refrigeration	2074	Air Filters	3633	Polyester and Fiberglass Air Filters	"Heating, Ventilation, & Air Conditioning > HVAC Filters & Air Treatment > Air Filters & Accessories > Air Conditioner Filters"	9518	"Heating, Ventilation, & Air Conditioning"	9787	Air Conditioner Filters	Polyester and Fiberglass Air Filters -- Air Conditioner Filters	"This attribute is intended to capture a listing of any industry or government standards for which the product is approved or certified, e.g. UL Listed, FDA Approved, etc."			126615	Standards	flammability class;specifications met								Grainger Only
HVAC and Refrigeration > Air Filters > Polyester and Fiberglass Air Filters	1012	HVAC and Refrigeration	2074	Air Filters	3633	Polyester and Fiberglass Air Filters	"Heating, Ventilation, & Air Conditioning > HVAC Filters & Air Treatment > Air Filters & Accessories > Air Conditioner Filters"	9518	"Heating, Ventilation, & Air Conditioning"	9787	Air Conditioner Filters	Polyester and Fiberglass Air Filters -- Air Conditioner Filters	"This attribute is intended to capture the frame material, e.g. Aluminum, Galvanized Steel, etc. The frame encases the filter portion of the air filter. The material/media type of actual filter is captured in a different attribute."			401715	Air Filter Frame Material	frame material								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Cannons	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3586	Air Cannons	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Industrial Air Circulating Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9710	Industrial Air Circulating Fans	Air Cannons -- Industrial Air Circulating Fans				122580	Frame Material	frame material								Grainger Only
HVAC and Refrigeration > Air Filters > Cartridge Air Filters	1012	HVAC and Refrigeration	2074	Air Filters	29236	Cartridge Air Filters	"Heating, Ventilation, & Air Conditioning > HVAC Filters & Air Treatment > Air Filters & Accessories > Collapsible Pleated Air Filters"	9518	"Heating, Ventilation, & Air Conditioning"	9788	Collapsible Pleated Air Filters	Cartridge Air Filters -- Collapsible Pleated Air Filters				130064	Frame/Header Material	frame support material								Grainger Only
HVAC and Refrigeration > Cooling Fans and Air Circulators > Air Cannons	1012	HVAC and Refrigeration	27712	Cooling Fans and Air Circulators	3586	Air Cannons	"Heating, Ventilation, & Air Conditioning > Fans & Blowers > Fans > Air Circulating Fans > Mobile Fans"	9518	"Heating, Ventilation, & Air Conditioning"	9711	Mobile Fans	Air Cannons -- Mobile Fans				127953	Guard Material	guard material								Grainger Only
